lot_number,Lot,Building,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24266895,46A,7,46A/7/14,"$868,730,000.00 ","$10,900,000.00 ","$43,436,500.00 ",1,On sale,13.07.2026 09:00,4,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,178,https://e-auksion.uz/lot-view?lot_id=24266895
24266912,46A,7,46A/7/36,"$973,261,000.00 ","$10,900,000.00 ","$48,663,050.00 ",1,On sale,13.07.2026 09:00,7,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,74,https://e-auksion.uz/lot-view?lot_id=24266912
24266920,46A,7,46A/7/44,"$868,730,000.00 ","$10,900,000.00 ","$43,436,500.00 ",0,On sale,13.07.2026 09:00,9,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,38,https://e-auksion.uz/lot-view?lot_id=24266920
24266950,46A,8,46A/8/42,"$973,261,000.00 ","$10,900,000.00 ","$48,663,050.00 ",0,On sale,13.07.2026 09:00,8,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,38,https://e-auksion.uz/lot-view?lot_id=24266950
24266958,46A,8,46A/8/29,"$868,730,000.00 ","$10,900,000.00 ","$43,436,500.00 ",0,On sale,13.07.2026 09:00,6,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,29,https://e-auksion.uz/lot-view?lot_id=24266958
24266882,46A,7,46A/7/7,"$973,261,000.00 ","$10,900,000.00 ","$48,663,050.00 ",1,On sale,13.07.2026 09:00,3,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,57,https://e-auksion.uz/lot-view?lot_id=24266882
24266894,46A,8,46A/8/31,"$973,261,000.00 ","$10,900,000.00 ","$48,663,050.00 ",0,On sale,13.07.2026 09:00,7,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,25,https://e-auksion.uz/lot-view?lot_id=24266894
24266898,46A,7,46A/7/24,"$973,261,000.00 ","$10,900,000.00 ","$48,663,050.00 ",1,On sale,13.07.2026 09:00,5,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,37,https://e-auksion.uz/lot-view?lot_id=24266898
24266936,46A,8,46A/8/32,"$868,730,000.00 ","$10,900,000.00 ","$43,436,500.00 ",0,On sale,13.07.2026 09:00,7,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,19,https://e-auksion.uz/lot-view?lot_id=24266936
24266957,46A,8,46A/8/30,"$973,261,000.00 ","$10,900,000.00 ","$48,663,050.00 ",0,On sale,13.07.2026 09:00,6,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,43,https://e-auksion.uz/lot-view?lot_id=24266957
24286775,46A,7,46A/7/45,"$772,156,000.00 ","$10,900,000.00 ","$38,607,800.00 ",0,On sale,13.07.2026 09:00,9,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,26,https://e-auksion.uz/lot-view?lot_id=24286775
24286754,46A,7,46A/7/22,"$751,555,000.00 ","$10,900,000.00 ","$37,577,750.00 ",1,On sale,13.07.2026 09:00,5,9,68.95,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,58.7,0,10.25,63,https://e-auksion.uz/lot-view?lot_id=24286754
24286764,46A,8,46A/8/27,"$772,156,000.00 ","$10,900,000.00 ","$38,607,800.00 ",0,On sale,13.07.2026 09:00,6,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,20,https://e-auksion.uz/lot-view?lot_id=24286764
24286770,46A,7,46A/7/39,"$772,156,000.00 ","$10,900,000.00 ","$38,607,800.00 ",0,On sale,13.07.2026 09:00,8,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,17,https://e-auksion.uz/lot-view?lot_id=24286770
24266883,46A,7,46A/7/19,"$973,261,000.00 ","$10,900,000.00 ","$48,663,050.00 ",0,On sale,13.07.2026 09:00,5,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,48,https://e-auksion.uz/lot-view?lot_id=24266883
24266891,46A,8,46A/8/14,"$868,730,000.00 ","$10,900,000.00 ","$43,436,500.00 ",1,On sale,13.07.2026 09:00,4,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,37,https://e-auksion.uz/lot-view?lot_id=24266891
24266905,46A,8,46A/8/7,"$973,261,000.00 ","$10,900,000.00 ","$48,663,050.00 ",1,On sale,13.07.2026 09:00,3,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,40,https://e-auksion.uz/lot-view?lot_id=24266905
24266914,46A,7,46A/7/23,"$868,730,000.00 ","$10,900,000.00 ","$43,436,500.00 ",1,On sale,13.07.2026 09:00,5,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,27,https://e-auksion.uz/lot-view?lot_id=24266914
24266922,46A,7,46A/7/48,"$973,261,000.00 ","$10,900,000.00 ","$48,663,050.00 ",0,On sale,13.07.2026 09:00,9,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,17,https://e-auksion.uz/lot-view?lot_id=24266922
24266932,46A,8,46A/8/20,"$868,730,000.00 ","$10,900,000.00 ","$43,436,500.00 ",0,On sale,13.07.2026 09:00,5,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,22,https://e-auksion.uz/lot-view?lot_id=24266932
24266953,46A,8,46A/8/23,"$868,730,000.00 ","$10,900,000.00 ","$43,436,500.00 ",1,On sale,13.07.2026 09:00,5,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,28,https://e-auksion.uz/lot-view?lot_id=24266953
24266960,46A,8,46A/8/18,"$973,261,000.00 ","$10,900,000.00 ","$48,663,050.00 ",1,On sale,13.07.2026 09:00,4,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,57,https://e-auksion.uz/lot-view?lot_id=24266960
24286757,46A,7,46A/7/10,"$751,555,000.00 ","$10,900,000.00 ","$37,577,750.00 ",0,On sale,13.07.2026 09:00,3,9,68.95,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,58.7,0,10.25,43,https://e-auksion.uz/lot-view?lot_id=24286757
24286758,46A,8,46A/8/45,"$772,156,000.00 ","$10,900,000.00 ","$38,607,800.00 ",0,On sale,13.07.2026 09:00,9,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,6,https://e-auksion.uz/lot-view?lot_id=24286758
