lot_number,name,Lot,Building, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24194970,46A/6/31,46A,6," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,06.07.2026 09:00,8,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,52,https://e-auksion.uz/lot-view?lot_id=24194970
24194981,44A/4/16,44A,4," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,06.07.2026 09:00,3,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,17,https://e-auksion.uz/lot-view?lot_id=24194981
24194990,44B/2/44,44B,2," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,06.07.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,12,https://e-auksion.uz/lot-view?lot_id=24194990
24195000,44B/6/39,44B,6," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,06.07.2026 09:00,7,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,14,https://e-auksion.uz/lot-view?lot_id=24195000
24195007,44B/6/47,44B,6," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,06.07.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,6,https://e-auksion.uz/lot-view?lot_id=24195007
24195012,44B/2/53,44B,2," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,06.07.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,5,https://e-auksion.uz/lot-view?lot_id=24195012
24195027,46A/1/38,46A,1," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,06.07.2026 09:00,9,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,11,https://e-auksion.uz/lot-view?lot_id=24195027
24195033,46A/9/52,46A,9," $850,854,000.00 "," $10,900,000.00 "," $42,542,700.00 ",0,On sale,06.07.2026 09:00,12,12,78.06,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.43,0,17.63,8,https://e-auksion.uz/lot-view?lot_id=24195033
24195043,44A/7/34,44A,7," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,06.07.2026 09:00,8,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,8,https://e-auksion.uz/lot-view?lot_id=24195043
24195051,43F/5/42,43F,5," $1,006,974,000.00 "," $12,900,000.00 "," $50,348,700.00 ",0,On sale,06.07.2026 09:00,9,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,10,https://e-auksion.uz/lot-view?lot_id=24195051
24195068,44A/7/54,44A,7," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,06.07.2026 09:00,12,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,7,https://e-auksion.uz/lot-view?lot_id=24195068
24195073,43F/8/13,43F,8," $1,097,532,000.00 "," $12,900,000.00 "," $54,876,600.00 ",0,On sale,06.07.2026 09:00,3,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,10,https://e-auksion.uz/lot-view?lot_id=24195073
24195090,43F/8/21,43F,8," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,06.07.2026 09:00,4,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,5,https://e-auksion.uz/lot-view?lot_id=24195090
24194972,44A/1/55,44A,1," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,06.07.2026 09:00,11,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,6,https://e-auksion.uz/lot-view?lot_id=24194972
24194984,44A/4/22,44A,4," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,06.07.2026 09:00,4,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,5,https://e-auksion.uz/lot-view?lot_id=24194984
24195005,44B/6/38,44B,6," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,06.07.2026 09:00,7,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,5,https://e-auksion.uz/lot-view?lot_id=24195005
