lot_number,name, price , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status
23954188,43F/5/14," $748,458,000.00 "," $37,422,900.00 ",0,On sale,22.06.2026 09:00,4,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954197,43F/5/48," $1,068,636,000.00 "," $53,431,800.00 ",0,On sale,22.06.2026 09:00,10,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954210,43F/5/15," $695,181,000.00 "," $34,759,050.00 ",0,On sale,22.06.2026 09:00,4,12,53.89,2,2027-yilning 2-choragida,To'liq bitkazilgan holda
23954218,43F/5/13," $1,068,636,000.00 "," $53,431,800.00 ",0,On sale,22.06.2026 09:00,3,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954230,43F/5/56," $820,182,000.00 "," $41,009,100.00 ",0,On sale,22.06.2026 09:00,12,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954240,43F/8/24," $841,338,000.00 "," $42,066,900.00 ",0,On sale,22.06.2026 09:00,5,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954249,43F/8/13," $1,097,532,000.00 "," $54,876,600.00 ",0,On sale,22.06.2026 09:00,3,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954253,43F/8/26," $1,021,035,000.00 "," $51,051,750.00 ",0,On sale,22.06.2026 09:00,5,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954258,43F/8/39," $1,021,035,000.00 "," $51,051,750.00 ",0,On sale,22.06.2026 09:00,7,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954189,43F/5/29," $748,458,000.00 "," $37,422,900.00 ",0,On sale,22.06.2026 09:00,7,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954199,43F/5/38," $1,068,636,000.00 "," $53,431,800.00 ",0,On sale,22.06.2026 09:00,8,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954213,43F/5/45," $695,181,000.00 "," $34,759,050.00 ",0,On sale,22.06.2026 09:00,10,12,53.89,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954221,43F/5/26," $820,182,000.00 "," $41,009,100.00 ",0,On sale,22.06.2026 09:00,6,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954242,43F/8/31," $1,097,532,000.00 "," $54,876,600.00 ",0,On sale,22.06.2026 09:00,6,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954247,43F/8/23," $841,338,000.00 "," $42,066,900.00 ",0,On sale,22.06.2026 09:00,4,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954263,43F/8/15," $1,021,035,000.00 "," $51,051,750.00 ",0,On sale,22.06.2026 09:00,3,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954264,43F/8/28," $1,097,532,000.00 "," $54,876,600.00 ",0,On sale,22.06.2026 09:00,5,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954192,43F/5/34," $748,458,000.00 "," $37,422,900.00 ",0,On sale,22.06.2026 09:00,8,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954198,43F/5/28," $1,068,636,000.00 "," $53,431,800.00 ",0,On sale,22.06.2026 09:00,6,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954205,43F/5/27," $1,006,974,000.00 "," $50,348,700.00 ",0,On sale,22.06.2026 09:00,6,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954217,43F/5/17," $1,006,974,000.00 "," $50,348,700.00 ",0,On sale,22.06.2026 09:00,4,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954226,43F/5/47," $1,006,974,000.00 "," $50,348,700.00 ",0,On sale,22.06.2026 09:00,10,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954233,43F/5/42," $1,006,974,000.00 "," $50,348,700.00 ",0,On sale,22.06.2026 09:00,9,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954243,43F/8/12," $841,338,000.00 "," $42,066,900.00 ",0,On sale,22.06.2026 09:00,3,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954250,43F/8/19," $1,097,532,000.00 "," $54,876,600.00 ",0,On sale,22.06.2026 09:00,4,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954262,43F/8/21," $1,021,035,000.00 "," $51,051,750.00 ",0,On sale,22.06.2026 09:00,4,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954266,43F/8/34," $1,097,532,000.00 "," $54,876,600.00 ",0,On sale,22.06.2026 09:00,6,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954191,43F/5/44," $748,458,000.00 "," $37,422,900.00 ",0,On sale,22.06.2026 09:00,10,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda
23954196,43F/5/33," $1,068,636,000.00 "," $53,431,800.00 ",0,On sale,22.06.2026 09:00,7,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954211,43F/5/52," $1,006,974,000.00 "," $50,348,700.00 ",0,On sale,22.06.2026 09:00,11,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954219,43F/5/37," $1,006,974,000.00 "," $50,348,700.00 ",0,On sale,22.06.2026 09:00,8,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954228,43F/5/51," $820,182,000.00 "," $41,009,100.00 ",0,On sale,22.06.2026 09:00,11,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954236,43F/5/30," $695,181,000.00 "," $34,759,050.00 ",0,On sale,22.06.2026 09:00,7,12,53.89,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954254,43F/8/35," $841,338,000.00 "," $42,066,900.00 ",0,On sale,22.06.2026 09:00,6,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954261,43F/8/27," $1,021,035,000.00 "," $51,051,750.00 ",0,On sale,22.06.2026 09:00,5,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954190,43F/5/9," $748,458,000.00 "," $37,422,900.00 ",0,On sale,22.06.2026 09:00,3,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954200,43F/5/43," $1,068,636,000.00 "," $53,431,800.00 ",0,On sale,22.06.2026 09:00,9,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954209,43F/5/10," $695,181,000.00 "," $34,759,050.00 ",0,On sale,22.06.2026 09:00,3,12,53.89,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954215,43F/5/54," $748,458,000.00 "," $37,422,900.00 ",0,On sale,22.06.2026 09:00,12,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda
23954229,43F/5/12," $1,006,974,000.00 "," $50,348,700.00 ",0,On sale,22.06.2026 09:00,3,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954238,43F/8/30," $841,338,000.00 "," $42,066,900.00 ",0,On sale,22.06.2026 09:00,6,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954246,43F/8/25," $1,097,532,000.00 "," $54,876,600.00 ",0,On sale,22.06.2026 09:00,5,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954257,43F/8/14," $1,021,035,000.00 "," $51,051,750.00 ",0,On sale,22.06.2026 09:00,3,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954194,43F/5/24," $748,458,000.00 "," $37,422,900.00 ",0,On sale,22.06.2026 09:00,6,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954201,43F/5/53," $1,068,636,000.00 "," $53,431,800.00 ",0,On sale,22.06.2026 09:00,11,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954214,43F/5/50," $695,181,000.00 "," $34,759,050.00 ",0,On sale,22.06.2026 09:00,11,12,53.89,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954223,43F/5/35," $695,181,000.00 "," $34,759,050.00 ",0,On sale,22.06.2026 09:00,8,12,53.89,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954232,43F/5/25," $695,181,000.00 "," $34,759,050.00 ",0,On sale,22.06.2026 09:00,6,12,53.89,2,2027-yilning 2-choragida,To'liq bitkazilgan holda
23954244,43F/8/36," $841,338,000.00 "," $42,066,900.00 ",0,On sale,22.06.2026 09:00,7,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954251,43F/8/38," $1,021,035,000.00 "," $51,051,750.00 ",0,On sale,22.06.2026 09:00,7,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954260,43F/8/33," $1,021,035,000.00 "," $51,051,750.00 ",0,On sale,22.06.2026 09:00,6,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954203,43F/5/49," $748,458,000.00 "," $37,422,900.00 ",0,On sale,22.06.2026 09:00,11,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954206,43F/5/20," $695,181,000.00 "," $34,759,050.00 ",0,On sale,22.06.2026 09:00,5,12,53.89,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954216,43F/5/40," $695,181,000.00 "," $34,759,050.00 ",0,On sale,22.06.2026 09:00,9,12,53.89,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954225,43F/5/16," $820,182,000.00 "," $41,009,100.00 ",0,On sale,22.06.2026 09:00,4,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954234,43F/5/18," $1,068,636,000.00 "," $53,431,800.00 ",0,On sale,22.06.2026 09:00,4,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954241,43F/8/18," $841,338,000.00 "," $42,066,900.00 ",0,On sale,22.06.2026 09:00,4,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954255,43F/8/41," $841,338,000.00 "," $42,066,900.00 ",0,On sale,22.06.2026 09:00,7,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954195,43F/5/39," $748,458,000.00 "," $37,422,900.00 ",0,On sale,22.06.2026 09:00,9,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954202,43F/5/58," $1,068,636,000.00 "," $53,431,800.00 ",0,On sale,22.06.2026 09:00,12,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954212,43F/5/41," $820,182,000.00 "," $41,009,100.00 ",0,On sale,22.06.2026 09:00,9,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954224,43F/5/21," $820,182,000.00 "," $41,009,100.00 ",0,On sale,22.06.2026 09:00,5,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954235,43F/5/55," $695,181,000.00 "," $34,759,050.00 ",0,On sale,22.06.2026 09:00,12,12,53.89,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954245,43F/8/17," $841,338,000.00 "," $42,066,900.00 ",0,On sale,22.06.2026 09:00,3,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954252,43F/8/32," $1,021,035,000.00 "," $51,051,750.00 ",0,On sale,22.06.2026 09:00,6,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954259,43F/8/20," $1,021,035,000.00 "," $51,051,750.00 ",0,On sale,22.06.2026 09:00,4,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954265,43F/8/22," $1,097,532,000.00 "," $54,876,600.00 ",0,On sale,22.06.2026 09:00,4,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954204,43F/5/23," $1,068,636,000.00 "," $53,431,800.00 ",0,On sale,22.06.2026 09:00,5,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954208,43F/5/57," $1,006,974,000.00 "," $50,348,700.00 ",0,On sale,22.06.2026 09:00,12,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954222,43F/5/32," $1,006,974,000.00 "," $50,348,700.00 ",0,On sale,22.06.2026 09:00,7,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954227,43F/5/36," $820,182,000.00 "," $41,009,100.00 ",0,On sale,22.06.2026 09:00,8,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954237,43F/5/46," $820,182,000.00 "," $41,009,100.00 ",0,On sale,22.06.2026 09:00,10,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954207,43F/5/11," $820,182,000.00 "," $41,009,100.00 ",0,On sale,22.06.2026 09:00,3,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954220,43F/5/31," $820,182,000.00 "," $41,009,100.00 ",0,On sale,22.06.2026 09:00,7,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954231,43F/5/22," $1,006,974,000.00 "," $50,348,700.00 ",0,On sale,22.06.2026 09:00,5,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954239,43F/8/37," $1,097,532,000.00 "," $54,876,600.00 ",0,On sale,22.06.2026 09:00,7,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954248,43F/8/29," $841,338,000.00 "," $42,066,900.00 ",0,On sale,22.06.2026 09:00,5,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954256,43F/8/16," $1,097,532,000.00 "," $54,876,600.00 ",0,On sale,22.06.2026 09:00,3,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954193,43F/5/19," $748,458,000.00 "," $37,422,900.00 ",0,On sale,22.06.2026 09:00,5,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23954267,43F/8/40," $1,097,532,000.00 "," $54,876,600.00 ",0,On sale,22.06.2026 09:00,7,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23945603,44B/6/33," $756,460,000.00 "," $37,823,000.00 ",0,On sale,17.06.2026 09:00,6,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda
23945607,44B/6/45," $756,460,000.00 "," $37,823,000.00 ",0,On sale,17.06.2026 09:00,8,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda
23945613,44A/5/51," $693,532,000.00 "," $34,676,600.00 ",0,On sale,17.06.2026 09:00,11,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda
23945614,44A/5/36," $693,532,000.00 "," $34,676,600.00 ",0,On sale,17.06.2026 09:00,8,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda
23945619,44A/5/57," $705,114,000.00 "," $35,255,700.00 ",0,On sale,17.06.2026 09:00,12,12,54.66,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda
23945626,46A/2/22," $772,156,000.00 "," $38,607,800.00 ",0,On sale,17.06.2026 09:00,5,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23945628,46A/2/34," $772,156,000.00 "," $38,607,800.00 ",0,On sale,17.06.2026 09:00,7,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23945635,46A/2/43," $973,261,000.00 "," $48,663,050.00 ",0,On sale,17.06.2026 09:00,9,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23945636,46A/2/17," $868,730,000.00 "," $43,436,500.00 ",0,On sale,17.06.2026 09:00,4,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23945646,46A/2/40," $772,156,000.00 "," $38,607,800.00 ",0,On sale,17.06.2026 09:00,8,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23945650,46A/2/41," $868,730,000.00 "," $43,436,500.00 ",0,On sale,17.06.2026 09:00,8,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23945656,46A/3/20," $868,730,000.00 "," $43,436,500.00 ",0,On sale,17.06.2026 09:00,5,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23945661,46A/3/46," $772,156,000.00 "," $38,607,800.00 ",0,On sale,17.06.2026 09:00,9,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23945662,46A/3/17," $868,730,000.00 "," $43,436,500.00 ",0,On sale,17.06.2026 09:00,4,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23945669,46A/4/37," $902,956,000.00 "," $45,147,800.00 ",0,On sale,17.06.2026 09:00,11,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda
23945671,46A/9/7," $850,854,000.00 "," $42,542,700.00 ",1,On sale,17.06.2026 09:00,3,12,78.06,3,2027-yilning 2-choragida,To'liq bitkazilgan holda
23945675,46A/9/21," $902,956,000.00 "," $45,147,800.00 ",0,On sale,17.06.2026 09:00,6,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda
23945681,44A/7/44," $888,459,000.00 "," $44,422,950.00 ",0,On sale,17.06.2026 09:00,10,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda
23945682,46A/9/36," $902,956,000.00 "," $45,147,800.00 ",0,On sale,17.06.2026 09:00,9,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda
23945685,44A/7/54," $888,459,000.00 "," $44,422,950.00 ",0,On sale,17.06.2026 09:00,12,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda
23945686,44A/7/49," $888,459,000.00 "," $44,422,950.00 ",0,On sale,17.06.2026 09:00,11,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda
23945691,44A/7/34," $888,459,000.00 "," $44,422,950.00 ",0,On sale,17.06.2026 09:00,8,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda
23945693,44A/7/24," $888,459,000.00 "," $44,422,950.00 ",0,On sale,17.06.2026 09:00,6,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda
23945695,44A/7/50," $854,887,000.00 "," $42,744,350.00 ",0,On sale,17.06.2026 09:00,11,12,78.43,3,2027-yilning 2-choragida,To'liq bitkazilgan holda
23945557,46A/6/46," $748,458,000.00 "," $37,422,900.00 ",0,On sale,17.06.2026 09:00,11,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda
23945566,44B/2/44," $844,750,000.00 "," $42,237,500.00 ",0,On sale,17.06.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda
23945578,44B/2/38," $844,750,000.00 "," $42,237,500.00 ",0,On sale,17.06.2026 09:00,7,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda
23945584,44B/2/52," $745,560,000.00 "," $37,278,000.00 ",0,On sale,17.06.2026 09:00,9,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda
23945592,44B/6/42," $953,750,000.00 "," $47,687,500.00 ",0,On sale,17.06.2026 09:00,7,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda
23945601,44B/6/21," $756,460,000.00 "," $37,823,000.00 ",0,On sale,17.06.2026 09:00,4,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda
23945611,44A/5/56," $693,532,000.00 "," $34,676,600.00 ",0,On sale,17.06.2026 09:00,12,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda
23945623,46A/1/38," $820,182,000.00 "," $41,009,100.00 ",0,On sale,17.06.2026 09:00,9,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda
23945637,44A/4/16," $894,166,000.00 "," $44,708,300.00 ",0,On sale,17.06.2026 09:00,3,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda
23945642,46A/1/13," $820,182,000.00 "," $41,009,100.00 ",0,On sale,17.06.2026 09:00,4,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda
23945684,44A/7/55," $854,887,000.00 "," $42,744,350.00 ",0,On sale,17.06.2026 09:00,12,12,78.43,3,2027-yilning 2-choragida,To'liq bitkazilgan holda
23945552,46A/6/51," $748,458,000.00 "," $37,422,900.00 ",0,On sale,17.06.2026 09:00,12,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda
23945565,44B/6/38," $844,750,000.00 "," $42,237,500.00 ",0,On sale,17.06.2026 09:00,7,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda
23945572,44B/2/49," $953,750,000.00 "," $47,687,500.00 ",0,On sale,17.06.2026 09:00,9,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda
23945593,44B/6/20," $844,750,000.00 "," $42,237,500.00 ",0,On sale,17.06.2026 09:00,4,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda
23945622,46A/2/38," $868,730,000.00 "," $43,436,500.00 ",0,On sale,17.06.2026 09:00,8,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23945632,46A/1/53," $820,182,000.00 "," $41,009,100.00 ",0,On sale,17.06.2026 09:00,12,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda
23945639,44A/4/22," $894,166,000.00 "," $44,708,300.00 ",0,On sale,17.06.2026 09:00,4,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda
23945648,46A/2/23," $868,730,000.00 "," $43,436,500.00 ",0,On sale,17.06.2026 09:00,5,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23945657,46A/3/38," $868,730,000.00 "," $43,436,500.00 ",0,On sale,17.06.2026 09:00,8,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23945660,46A/3/40," $772,156,000.00 "," $38,607,800.00 ",0,On sale,17.06.2026 09:00,8,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda
23945665,46A/3/48," $973,261,000.00 "," $48,663,050.00 ",0,On sale,17.06.2026 09:00,9,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda
23945673,46A/9/47," $850,854,000.00 "," $42,542,700.00 ",0,On sale,17.06.2026 09:00,11,12,78.06,3,2027-yilning 2-choragida,To'liq bitkazilgan holda
23945683,46A/9/51," $902,956,000.00 "," $45,147,800.00 ",0,On sale,17.06.2026 09:00,12,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda
23945688,44A/7/25," $854,887,000.00 "," $42,744,350.00 ",0,On sale,17.06.2026 09:00,6,12,78.43,3,2027-yilning 2-choragida,To'liq bitkazilgan holda
23945550,44A/1/56," $693,532,000.00 "," $34,676,600.00 ",0,On sale,17.06.2026 09:00,12,12,58.28,2,2027-yilning 2-choragida,To'liq bitkazilgan holda
23945558,44B/6/53," $844,750,000.00 "," $42,237,500.00 ",0,On sale,17.06.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda
23945573,44B/2/33," $756,460,000.00 "," $37,823,000.00 ",0,On sale,17.06.2026 09:00,6,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda
23945582,44B/2/45," $756,460,000.00 "," $37,823,000.00 ",0,On sale,17.06.2026 09:00,8,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda
23945589,44B/6/49," $953,750,000.00 "," $47,687,500.00 ",0,On sale,17.06.2026 09:00,9,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda
23945605,44B/6/51," $756,460,000.00 "," $37,823,000.00 ",0,On sale,17.06.2026 09:00,9,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda
23945612,44A/5/37," $705,114,000.00 "," $35,255,700.00 ",0,On sale,17.06.2026 09:00,8,12,54.66,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda
23945616,44A/5/52," $705,114,000.00 "," $35,255,700.00 ",0,On sale,17.06.2026 09:00,11,12,54.66,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda
23945618,44A/4/39," $894,166,000.00 "," $44,708,300.00 ",0,On sale,17.06.2026 09:00,7,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda
