lot_number,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
23975479,44B/6/50," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,19.06.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,5,https://e-auksion.uz/lot-view?lot_id=23975479
23975488,44B/2/40," $745,560,000.00 "," $10,900,000.00 "," $37,278,000.00 ",0,On sale,19.06.2026 09:00,7,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,,https://e-auksion.uz/lot-view?lot_id=23975488
23975495,44B/2/44," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,19.06.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,,https://e-auksion.uz/lot-view?lot_id=23975495
23975521,44A/5/46," $693,532,000.00 "," $11,900,000.00 "," $34,676,600.00 ",0,On sale,19.06.2026 09:00,10,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,7,https://e-auksion.uz/lot-view?lot_id=23975521
23975522,44A/5/42," $705,114,000.00 "," $12,900,000.00 "," $35,255,700.00 ",0,On sale,19.06.2026 09:00,9,12,54.66,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,41.55,0,13.11,,https://e-auksion.uz/lot-view?lot_id=23975522
23975531,44A/4/28," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,19.06.2026 09:00,5,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,,https://e-auksion.uz/lot-view?lot_id=23975531
23975546,46A/2/20," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,19.06.2026 09:00,5,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,3,https://e-auksion.uz/lot-view?lot_id=23975546
23975555,46A/2/48," $973,261,000.00 "," $10,900,000.00 "," $48,663,050.00 ",0,On sale,19.06.2026 09:00,9,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,,https://e-auksion.uz/lot-view?lot_id=23975555
23975464,44A/1/56," $693,532,000.00 "," $11,900,000.00 "," $34,676,600.00 ",0,On sale,19.06.2026 09:00,12,12,58.28,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.3,0,12.98,3,https://e-auksion.uz/lot-view?lot_id=23975464
23975477,44B/6/47," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,19.06.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,,https://e-auksion.uz/lot-view?lot_id=23975477
23975498,44B/2/45," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,19.06.2026 09:00,8,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,,https://e-auksion.uz/lot-view?lot_id=23975498
23975515,44B/6/51," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,19.06.2026 09:00,9,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,1,https://e-auksion.uz/lot-view?lot_id=23975515
23975527,44A/4/15," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,19.06.2026 09:00,3,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,3,https://e-auksion.uz/lot-view?lot_id=23975527
23975532,44A/4/21," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,19.06.2026 09:00,4,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,,https://e-auksion.uz/lot-view?lot_id=23975532
23975538,46A/1/54," $850,854,000.00 "," $10,900,000.00 "," $42,542,700.00 ",0,On sale,19.06.2026 09:00,12,12,78.06,3,2027-yilning 2 choragida ,To'liq bitkazilgan holda,60.43,0,17.63,,https://e-auksion.uz/lot-view?lot_id=23975538
23975547,46A/2/34," $772,156,000.00 "," $10,900,000.00 "," $38,607,800.00 ",0,On sale,19.06.2026 09:00,7,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,,https://e-auksion.uz/lot-view?lot_id=23975547
