lot_number,name,price,price_per_sqm,deposit,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24023458,44A/1/51,693532000,11900000,34676600,0,On sale,24.06.2026 09:00,11,12,58.28,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.3,0,12.98,2,https://e-auksion.uz/lot-view?lot_id=24023458
24023468,44B/6/46,745560000,10900000,37278000,0,On sale,24.06.2026 09:00,8,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24023468
24023475,44B/6/41,844750000,10900000,42237500,0,On sale,24.06.2026 09:00,7,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24023475
24023490,44B/2/53,844750000,10900000,42237500,0,On sale,24.06.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24023490
24023503,44B/6/54,953750000,10900000,47687500,0,On sale,24.06.2026 09:00,9,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,0,https://e-auksion.uz/lot-view?lot_id=24023503
24023511,44A/5/42,705114000,12900000,35255700,0,On sale,24.06.2026 09:00,9,12,54.66,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,41.55,0,13.11,0,https://e-auksion.uz/lot-view?lot_id=24023511
24023519,44A/4/15,894166000,11900000,44708300,0,On sale,24.06.2026 09:00,3,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,0,https://e-auksion.uz/lot-view?lot_id=24023519
24023529,46A/2/29,868730000,10900000,43436500,0,On sale,24.06.2026 09:00,6,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,0,https://e-auksion.uz/lot-view?lot_id=24023529
24023556,46A/9/37,850854000,10900000,42542700,0,On sale,24.06.2026 09:00,9,12,78.06,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.43,0,17.63,0,https://e-auksion.uz/lot-view?lot_id=24023556
24023572,43F/5/39,748458000,12900000,37422900,0,On sale,24.06.2026 09:00,9,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,45.04,0,12.98,0,https://e-auksion.uz/lot-view?lot_id=24023572
