lot_number,Lot,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24093715,43F,43F/5/13," $1,068,636,000.00 "," $12,900,000.00 "," $53,431,800.00 ",0,On sale,30.06.2026 09:00,3,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,37,https://e-auksion.uz/lot-view?lot_id=24093715
24093723,43F,43F/8/16," $1,097,532,000.00 "," $12,900,000.00 "," $54,876,600.00 ",0,On sale,30.06.2026 09:00,3,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,10,https://e-auksion.uz/lot-view?lot_id=24093723
24093729,43F,43F/8/41," $841,338,000.00 "," $12,900,000.00 "," $42,066,900.00 ",0,On sale,30.06.2026 09:00,7,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,53.24,0,11.98,14,https://e-auksion.uz/lot-view?lot_id=24093729
24093736,43F,43F/8/33," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,30.06.2026 09:00,6,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,8,https://e-auksion.uz/lot-view?lot_id=24093736
24093600,44A,44A/1/60," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,30.06.2026 09:00,12,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,6,https://e-auksion.uz/lot-view?lot_id=24093600
24093606,44B,44B/6/46," $745,560,000.00 "," $10,900,000.00 "," $37,278,000.00 ",0,On sale,30.06.2026 09:00,8,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,9,https://e-auksion.uz/lot-view?lot_id=24093606
24093616,44B,44B/6/37," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,30.06.2026 09:00,7,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,6,https://e-auksion.uz/lot-view?lot_id=24093616
24093618,44B,44B/2/41," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,30.06.2026 09:00,7,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,1,https://e-auksion.uz/lot-view?lot_id=24093618
24093630,44B,44B/2/45," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,30.06.2026 09:00,8,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,5,https://e-auksion.uz/lot-view?lot_id=24093630
24093635,44B,44B/6/45," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,30.06.2026 09:00,8,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,3,https://e-auksion.uz/lot-view?lot_id=24093635
